Entity,Label
chest pain weakness dizziness palpitations,DISEASE
Atrial Fibrillation,DISEASE
coumadin,CHEMICAL
anticoagulated Pericardial Effusion,DISEASE
Kidney Disease ESRD,DISEASE
gastroenteritis,DISEASE
fistula,DISEASE
wife disability,DISEASE
cancer,DISEASE
ronchi,DISEASE
hernia,DISEASE
peripheral edema erythema right,DISEASE
tenderness,DISEASE
bruising,DISEASE
CREAT,CHEMICAL
PHOS,CHEMICAL
HBsAg,CHEMICAL
HBsAb,CHEMICAL
HBcAb,CHEMICAL
CREAT,CHEMICAL
pain,DISEASE
pain,DISEASE
edema,DISEASE
pneumothorax,DISEASE
cardiomegaly,DISEASE
Atrial fibrillation,DISEASE
atrial fibrillation,DISEASE
ventricular septal defect Right ventricular chamber size free wall motion normal aortic valve leaflets mildly thickened aortic stenosis,DISEASE
Trace aortic regurgitation,DISEASE
mitral valve leaflets mildly thickened,DISEASE
mitral valve prolapse,DISEASE
pulmonary artery systolic hypertension,DISEASE
pericardial effusion,DISEASE
atrial fibrillation,DISEASE
right atrium Bibasilar atelectasis,DISEASE
pleural effusion,DISEASE
cardiomegaly,DISEASE
vascular congestion abdomen,DISEASE
bibasilar atelectasis,DISEASE
pulmonary embolism,DISEASE
pulmonary hypertension,DISEASE
atelectasis,DISEASE
pleural effusions Cardiomegaly coronary artery calcifications,DISEASE
hypodense liver lesions,DISEASE
ecchymosis,DISEASE
abdominal wall muscular enlargement,DISEASE
hematoma,DISEASE
Atrial fibrillation,DISEASE
anterior myocardial infarction,DISEASE
ischemia,DISEASE
Respiratory Syncytial viral antigen,DISEASE
respiratory distress,DISEASE
volume overload infection nasopharyngeal aspirate,DISEASE
secondary obstructive sleep apnea,DISEASE
steroids COPD,CHEMICAL
COPD,DISEASE
uptitration,CHEMICAL
wheezing,DISEASE
pulmonary embolism,DISEASE
wheezing,DISEASE
rhonchi,DISEASE
wheezing,DISEASE
infection,DISEASE
viral pulmonary infection,DISEASE
Bactrim,CHEMICAL
prednisone cyclosporine,CHEMICAL
fistula,DISEASE
fistula,DISEASE
atrial fibrillation,DISEASE
atrial fibrillation,DISEASE
metabolic derangements fluid overload,DISEASE
betablocker,CHEMICAL
diltiazem,CHEMICAL
diltiazem,CHEMICAL
cyclosporin,CHEMICAL
respiratory distress,DISEASE
cyclosporin,CHEMICAL
heparin,CHEMICAL
heparin,CHEMICAL
atrial fibrillation,DISEASE
ACIDEMIA,CHEMICAL
metabolic respiratory acidosis,DISEASE
hypoventilation syndrome,DISEASE
COPD metabolic acidosis renal failure acidemia,DISEASE
diasylate,DISEASE
steroids,CHEMICAL
Docusate Sodium Pantoprazole,CHEMICAL
Furosemide,CHEMICAL
Gengraf,CHEMICAL
Mycophenolate Mofetil,CHEMICAL
Trimethoprim Amlodipine,CHEMICAL
Iron Calcium Vitamin,CHEMICAL
Atorvastatin,CHEMICAL
Docusate Sodium,CHEMICAL
Pantoprazole,CHEMICAL
Vitamin,CHEMICAL
Trimethoprim Sulfamethoxazole,CHEMICAL
Prednisone,CHEMICAL
Aspirin,CHEMICAL
Cyclosporine,CHEMICAL
Diltiazem,CHEMICAL
Diagnosis Primary stage renal disease Respiratory Syncytial Virus Secondary Atrial Fibrillation,DISEASE
shortness breath,DISEASE
shortness breath,DISEASE
chest pain,DISEASE
tightness,DISEASE
cough wheezing vomiting,DISEASE
vomiting diarrhea,DISEASE
dehydration,DISEASE
vomit,DISEASE
pain,DISEASE
pain,DISEASE
chills fever,DISEASE
Cyclosporin,CHEMICAL
Toprol,CHEMICAL
shortness breath,DISEASE
Warfarin coumadin mouth,CHEMICAL
coumadin,CHEMICAL
Diltiazem,CHEMICAL
fistula,DISEASE
Neupogen,CHEMICAL
coumadin regimen coumadin,CHEMICAL
coumadin,CHEMICAL
coumadin,CHEMICAL
Neupogen,CHEMICAL
bactrim,CHEMICAL
mitral aortic regurgitation coronary artery disease,DISEASE
aortic valve replacement,DISEASE
rheumatic heart disease,DISEASE
