spaCy (Sci) Unique Words,BioBERT Unique Words,Common Words
dose,chills,pneumonia
evidence,mildly,renal
DAILY,hematoma,artery
urine,Lasix,left
transferred,lasix,bowel
Tablet,weakness,acute
negative,anxiety,failure
Medications,leaflets,infection
course,sepsis,pain
function,pericardial,chest
patient,diarrhea,systolic
hospital,prednisone,pulmonary
weeks,hemorrhage,atrial
medical,breath,stenosis
Name,seizure,edema
pressure,constipation,chronic
mild,nausea,heart
consistent,Sodium,Right
with,COPD,pleural
tube,Aspirin,ventricular
medications,effusions,Left
wall,shortness,abdominal
Location,infarction,effusion
bilaterally,lung,mitral
care,vomiting,valve
baseline,coumadin,disease
First,creatinine,blood
Please,hypertension,respiratory
daily,aspirin,aortic
rate,lower,right
status,hypotension,regurgitation
time,myocardial,
year,pneumothorax,
soft,tachycardia,
Allergies,Vancomycin,
History,tenderness,
Admission,bleeding,
Date,sodium,
Capsule,Lactate,
Telephone,hepatitis,
Discharge,Metoprolol,
admitted,vancomycin,
Disp,Disposition,
follow,CREAT,
home,loss,
hours,Plavix,
stable,cancer,
surgery,oxygen,
normal,stroke,
size,Hypertension,
Last,Calcium,
Birth,bleed,
cardiac,Glucose,
Release,heparin,
days,fracture,
admission,glucose,
Refills,alcohol,
Service,cough,
discharge,distress,
BLOOD,diabetes,
fluid,fibrillation,
increased,coronary,
Hospital,atelectasis,
bilateral,liver,
history,fever,
Patient,Heparin,
Creat,metoprolol,
treated,Acetaminophen,
post,dyspnea,
